mes_hecho,fecha_hecho,delito,categoria_delito,latitud,longitud,delito_encoded,categoria_delito_encoded,time_seconds,time_zones,cluster_label
2,2079,HOMICIDIO CULPOSO POR TRÃNSITO VEHICULAR (COLISION),DELITO DE BAJO IMPACTO,19.4206289558492,-99.1154021800597,71,0,78300.0,2,-1
2,2082,"ROBO EN EVENTOS MASIVOS (DEPORTIVOS, CULTURALES, RELIGIOSOS Y ARTISTICOS) S/V",DELITO DE BAJO IMPACTO,19.4340523606978,-99.1348367898627,204,0,85800.0,2,-1
2,2082,AMENAZAS,DELITO DE BAJO IMPACTO,19.4179279635903,-99.1300611200912,7,0,83700.0,2,-1
2,2073,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,19.3850696594292,-99.1876964300424,166,0,81000.0,2,-1
2,2061,DAÃO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.4127912709833,-99.0848572300239,27,0,75600.0,2,-1
2,2081,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.2560865733647,-99.1698456598808,168,10,84000.0,2,-1
2,2080,DAÃO EN PROPIEDAD AJENA CULPOSA POR TRÃNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.394833219205,-99.1317160397081,23,0,80400.0,2,-1
2,2082,AMENAZAS,DELITO DE BAJO IMPACTO,19.349871444233,-99.0584595498358,7,0,76500.0,2,-1
2,2081,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,19.3306597743141,-99.0190766798538,2,0,84600.0,2,-1
2,2081,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.438062656571,-99.1505880700932,169,10,78600.0,2,-1
2,2080,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,19.3744920056817,-99.0586754700172,186,12,74400.0,2,-1
3,2083,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,19.4424535135174,-99.1329820498864,87,0,75000.0,2,-1
3,2083,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.3898161520445,-99.193717989765,168,10,81720.0,2,-1
3,2083,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.4038147318545,-99.1517336397539,174,0,83700.0,2,-1
3,2083,AMENAZAS,DELITO DE BAJO IMPACTO,19.3244460572679,-99.2685730800664,7,0,81000.0,2,-1
3,2083,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.2900853877144,-99.0119527299487,118,0,77400.0,2,-1
3,2083,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.3346645782317,-99.1641627000363,118,0,75600.0,2,-1
3,2083,DESPOJO,DELITO DE BAJO IMPACTO,19.3256502173254,-99.1047967196447,40,0,81000.0,2,-1
3,2083,AMENAZAS,DELITO DE BAJO IMPACTO,19.4396657471424,-99.0961605602876,7,0,74400.0,2,-1
3,1718,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.1902696401817,-99.1651340395967,118,0,81000.0,2,-1
2,2082,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.4855385311714,-99.1280725700478,125,0,77100.0,2,-1
2,2076,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,19.3729927922675,-99.278279990375,126,0,82020.0,2,-1
2,2077,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,19.4352961799227,-99.1858745402003,127,0,77820.0,2,-1
3,2083,LESIONES INTENCIONALES POR ARMA BLANCA,DELITO DE BAJO IMPACTO,19.3872838388043,-99.0310802300829,90,0,84600.0,2,-1
3,2083,DAÃO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.3284784585286,-99.1433179399431,27,0,82800.0,2,-1
2,2070,ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA,DELITO DE BAJO IMPACTO,19.368556622601,-99.0282905101738,133,0,84000.0,2,-1
3,2083,AMENAZAS,DELITO DE BAJO IMPACTO,19.4799934895776,-99.073091000161,7,0,78000.0,2,-1
2,2081,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.1984352238139,-99.1443231002057,118,0,83700.0,2,-1
