mes_hecho,fecha_hecho,delito,categoria_delito,latitud,longitud,delito_encoded,categoria_delito_encoded,time_seconds,time_zones,cluster_label
2,2082,ATAQUE A LAS VIAS DE COMUNICACION (DAÃO A VIAS O MEDIOS DE TRANSPORTE),DELITO DE BAJO IMPACTO,19.4107265402763,-99.1181138897686,8,0,72000.0,5,-1
2,2081,AMENAZAS,DELITO DE BAJO IMPACTO,19.3072501719937,-99.1508764003615,7,0,66600.0,5,-1
2,2077,AMENAZAS,DELITO DE BAJO IMPACTO,19.2809282518884,-99.1796310195307,7,0,68400.0,5,-1
2,2054,ROBO DE DINERO,DELITO DE BAJO IMPACTO,19.2944890887373,-99.1561523096178,179,0,71400.0,5,-1
2,2073,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.4313888930941,-99.14992422011,174,0,73800.0,5,-1
2,2082,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.4435549976724,-99.1329458404527,168,10,71400.0,5,-1
2,2078,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.425687450166,-99.1270449797869,187,0,73800.0,5,-1
2,2082,ROBO DE MOTOCICLETA CON VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,19.1947579198718,-99.1504005295267,185,12,72000.0,5,-1
2,2081,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,19.4139517405216,-99.1438493699261,166,0,72000.0,5,-1
3,2083,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,19.3583920792609,-99.295751899566,166,0,63600.0,5,-1
3,2083,LESIONES INTENCIONALES POR GOLPES,DELITO DE BAJO IMPACTO,19.4815132173718,-99.1165409995971,92,0,67620.0,5,-1
3,2083,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,19.4717852099752,-99.1647125799611,127,0,66420.0,5,-1
3,2083,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,19.4734339781612,-99.1893594002762,127,0,66480.0,5,-1
3,1718,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.3248801368302,-99.1663190400499,168,10,67860.0,5,-1
3,2083,NEGACION DEL SERVICIO PUBLICO,DELITO DE BAJO IMPACTO,19.4354830366577,-99.1540621997318,96,0,66600.0,5,-1
2,2082,LESIONES INTENCIONALES,DELITO DE BAJO IMPACTO,19.4818432122738,-99.0713086699533,89,0,68400.0,5,-1
3,2083,AMENAZAS,DELITO DE BAJO IMPACTO,19.4420425916565,-99.1400206096625,7,0,63000.0,5,-1
3,2083,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.390010967266,-99.2029018703048,125,0,64800.0,5,-1
