mes_hecho,fecha_hecho,delito,categoria_delito,latitud,longitud,delito_encoded,categoria_delito_encoded,time_seconds,time_zones,cluster_label
3,2083,DAÃO EN PROPIEDAD AJENA CULPOSA POR TRÃNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.4574563776278,-99.148847310115,23,0,23940.0,1,-1
3,2083,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.344314557364,-99.1551390999769,118,0,21060.0,1,-1
3,2083,LESIONES CULPOSAS POR TRANSITO VEHICULAR,DELITO DE BAJO IMPACTO,19.233755923098,-99.1243037595779,86,0,30000.0,1,-1
3,2083,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE CONVENIENCIA),DELITO DE BAJO IMPACTO,19.2949181890535,-99.1750042100468,128,0,30000.0,1,-1
3,2083,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.3442886218649,-99.1551478204376,118,0,21000.0,1,-1
3,2083,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.3214074463279,-99.172309939751,168,10,27480.0,1,-1
3,2083,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO DOLOSO,19.4930657070166,-99.2001933802699,73,1,18600.0,1,-1
3,2083,DAÃO EN PROPIEDAD AJENA INTENCIONAL,DELITO DE BAJO IMPACTO,19.41594217937,-99.0980999196512,26,0,33000.0,1,-1
3,2083,DAÃO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO,DELITO DE BAJO IMPACTO,19.4944846768792,-99.1162155597258,30,0,21600.0,1,-1
3,2083,AMENAZAS,DELITO DE BAJO IMPACTO,19.2320566066898,-99.2131626598403,7,0,28800.0,1,-1
2,2082,DAÃO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.3419096565571,-99.1814334704316,27,0,21600.0,1,-1
3,2083,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,19.4055708164082,-99.196360630156,189,0,21600.0,1,-1
3,1718,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO DOLOSO,19.3766946420457,-99.0627671801841,73,1,28800.0,1,-1
3,2083,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.3800352141887,-99.1152023504336,118,0,30600.0,1,-1
2,2082,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.2509253257518,-99.1735759403424,168,10,25200.0,1,-1
2,2080,LESIONES CULPOSAS,DELITO DE BAJO IMPACTO,19.2693823471898,-98.9932838803139,80,0,31200.0,1,-1
2,2075,FRAUDE,DELITO DE BAJO IMPACTO,19.3118787027262,-99.2607034699529,62,0,32400.0,1,-1
2,2066,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,19.4065264733461,-99.1666196303756,189,0,25200.0,1,-1
2,2070,FRAUDE,DELITO DE BAJO IMPACTO,19.3948264264454,-99.172379920102,62,0,21540.0,1,-1
3,2083,FRAUDE,DELITO DE BAJO IMPACTO,19.3865358732658,-99.1643115895408,62,0,29400.0,1,-1
3,2083,AMENAZAS,DELITO DE BAJO IMPACTO,19.3323972895473,-99.1649177696644,7,0,30600.0,1,-1
2,2082,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.4167415482821,-99.15568962963,174,0,32400.0,1,-1
9,2040,AMENAZAS,DELITO DE BAJO IMPACTO,19.5555212561786,-99.1544196000873,7,0,26100.0,1,-1
2,2082,DAÃO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.3330452205978,-99.1646280899988,27,0,27000.0,1,-1
3,2083,"PRODUCCIÃN, IMPRESIÃN, ENAJENACIÃN, DISTRIBUCIÃN, ALTERACIÃN O FALSIFICACIÃN DE TÃTULOS AL PORTADOR, DOCUMENTOS DE CRÃDITO PÃBLICOS O VALES DE CANJE",DELITO DE BAJO IMPACTO,19.4339435917671,-99.1807159800194,111,0,24000.0,1,-1
3,2083,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.3316164782247,-99.0934060502284,168,10,19800.0,1,-1
2,2081,FRAUDE,DELITO DE BAJO IMPACTO,19.4360414024428,-99.2035767795721,62,0,21840.0,1,-1
2,2082,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.4120951322059,-99.1345343695618,174,0,21600.0,1,-1
3,2083,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,19.2505159604962,-99.052033250321,168,10,33000.0,1,-1
2,2071,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.4722720019665,-99.1372185903223,159,0,25980.0,1,-1
9,2050,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.4622765919691,-99.1388793300216,174,0,25200.0,1,-1
2,2058,COBRANZA ILEGITIMA,DELITO DE BAJO IMPACTO,19.5115906158703,-99.1974509499555,14,0,27000.0,1,-1
10,2016,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.4061492726887,-99.167684820105,174,0,34200.0,1,-1
2,2079,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,19.4887968309068,-99.151989519819,189,0,32880.0,1,-1
11,1978,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.3980096069068,-99.1528673203058,187,0,32400.0,1,-1
3,2083,FRAUDE,DELITO DE BAJO IMPACTO,19.4061525172542,-99.1727693103889,62,0,30600.0,1,-1
3,2084,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.4223460375009,-99.1377760498795,187,0,19200.0,1,-1
3,2084,ROBO A TRANSEUNTE A BORDO DE TAXI PÃBLICO Y PRIVADO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,19.3262994359908,-99.0417768802539,160,7,33840.0,1,-1
2,2082,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.4831841189448,-99.1466713203554,174,0,32400.0,1,-1
3,2083,DAÃO EN PROPIEDAD AJENA INTENCIONAL A CASA HABITACION,DELITO DE BAJO IMPACTO,19.2784737164599,-99.1137736697325,29,0,32400.0,1,-1
2,2,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.4839318554853,-99.1578313704687,187,0,24300.0,1,-1
3,2084,DAÃO EN PROPIEDAD AJENA CULPOSA POR TRÃNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.449286327413,-99.0737637902282,23,0,26400.0,1,-1
2,2082,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.3745362887683,-99.1432173596462,174,0,28800.0,1,-1
2,2080,ROBO A PASAJERO EN RTP SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.3144194606996,-99.0948926700457,147,0,24300.0,1,-1
3,2084,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,19.3103909228928,-99.1567652797895,197,12,33300.0,1,-1
3,1718,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,19.3601830776984,-99.0685640996919,186,12,21600.0,1,-1
3,2083,DAÃO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.4351861488456,-99.1770178798244,27,0,28800.0,1,-1
7,1777,COHECHO,DELITO DE BAJO IMPACTO,19.5257484381708,-99.1506229303054,15,0,32400.0,1,-1
3,2083,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.4315204171921,-99.2090883897863,187,0,27000.0,1,-1
3,1719,AMENAZAS,DELITO DE BAJO IMPACTO,19.353091716215,-99.303793159706,7,0,34800.0,1,-1
3,2084,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.2665459188851,-99.1179469202654,187,0,27000.0,1,-1
3,2084,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.4254259097569,-99.2244109303008,174,0,32580.0,1,-1
3,2084,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,19.3557482471174,-99.0723627403614,166,0,28200.0,1,-1
2,2080,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,DELITO DE BAJO IMPACTO,19.3890411028395,-99.1739639597334,137,0,28800.0,1,-1
3,2084,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.3489877983159,-99.3039330797587,187,0,32400.0,1,-1
3,2083,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.4110467682715,-99.069334569734,187,0,28800.0,1,-1
2,2073,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,19.348398271627,-99.0661389395955,2,0,34200.0,1,-1
