mes_hecho,fecha_hecho,delito,categoria_delito,latitud,longitud,delito_encoded,categoria_delito_encoded,time_seconds,time_zones,cluster_label
2,2071,FRAUDE,DELITO DE BAJO IMPACTO,19.4472021333754,-99.148057399932,62,0,43200.0,4,0
2,2059,FRAUDE,DELITO DE BAJO IMPACTO,19.4214453906849,-99.1499537196328,62,0,43200.0,4,1
3,2083,"NARCOMENUDEO POSESIÃN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,19.445184463433,-99.1258641296205,95,0,41100.0,4,-1
3,2083,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,19.3230273671733,-99.1008237003469,189,0,36000.0,4,-1
6,790,FRAUDE,DELITO DE BAJO IMPACTO,19.4340953570185,-99.1429772998646,62,0,43200.0,4,-1
3,2083,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,19.4251486637236,-99.1337209902244,197,12,41700.0,4,-1
3,2083,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,19.3964599963227,-99.1286690496209,174,0,36000.0,4,-1
3,2083,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,19.4806474659345,-99.066181970366,122,5,44700.0,4,-1
5,1920,USURPACIÃN DE IDENTIDAD,DELITO DE BAJO IMPACTO,19.4350988918018,-99.212287590423,225,0,43200.0,4,-1
3,1718,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,19.3294967694592,-99.1542693996777,127,0,45900.0,4,-1
2,2081,USURPACIÃN DE IDENTIDAD,DELITO DE BAJO IMPACTO,19.42614276003,-99.1616454698506,225,0,44400.0,4,-1
3,2083,DAÃO EN PROPIEDAD AJENA CULPOSA POR TRÃNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,19.3832068205829,-99.0631500601385,23,0,46800.0,4,-1
6,1515,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,19.3275415470789,-99.0346254404193,2,0,43200.0,4,-1
3,2083,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.3316924061613,-99.1413049396272,187,0,36000.0,4,-1
2,2053,AMENAZAS,DELITO DE BAJO IMPACTO,19.4200566381522,-99.1244056804558,7,0,37800.0,4,-1
10,698,FRAUDE,DELITO DE BAJO IMPACTO,19.4242140033194,-99.1519452603736,62,0,43200.0,4,-1
9,2032,DESPOJO,DELITO DE BAJO IMPACTO,19.3841119938611,-99.1380742202497,40,0,43200.0,4,-1
9,2051,AMENAZAS,DELITO DE BAJO IMPACTO,19.3024487396303,-99.0823788196302,7,0,42300.0,4,-1
3,2083,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,19.353200491804,-99.2192092100419,186,12,36000.0,4,-1
11,1977,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,19.421835655814,-99.0733275700791,2,0,43200.0,4,-1
3,1727,FRAUDE,DELITO DE BAJO IMPACTO,19.4341784475078,-99.1414519695467,62,0,43200.0,4,-1
3,2083,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,19.4461872936862,-99.1507845403395,187,0,45000.0,4,-1
3,1718,FRAUDE,DELITO DE BAJO IMPACTO,19.3972493586606,-99.0583173903656,62,0,46200.0,4,-1
0,1835,FRAUDE,DELITO DE BAJO IMPACTO,19.489600230432,-99.0976540402541,62,0,43200.0,4,-1
3,2083,ABORTO,DELITO DE BAJO IMPACTO,19.3597522489519,-99.1632252898221,0,0,39600.0,4,-1
2,2076,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,19.3904828264371,-99.1895887304384,139,6,43200.0,4,-1
11,1974,FRAUDE,DELITO DE BAJO IMPACTO,19.3765174267846,-99.1408898202048,62,0,43200.0,4,2
8,1493,FRAUDE,DELITO DE BAJO IMPACTO,19.4341765143415,-99.1414509400008,62,0,43200.0,4,-1
3,2083,AMENAZAS,DELITO DE BAJO IMPACTO,19.4978133413873,-99.1767194898739,7,0,46800.0,4,-1
9,2037,AMENAZAS,DELITO DE BAJO IMPACTO,19.4183231730423,-99.1229617598067,7,0,46800.0,4,-1
2,2063,FRAUDE,DELITO DE BAJO IMPACTO,19.3770075714815,-99.1520956198706,62,0,43200.0,4,3
10,1992,FRAUDE,DELITO DE BAJO IMPACTO,19.3670499296524,-99.155917610473,62,0,43200.0,4,4
2,2063,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,19.4171910689337,-99.0878164199011,2,0,43200.0,4,-1
2,2080,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,19.4061495196998,-99.1611076896428,189,0,39600.0,4,-1
8,1203,FRAUDE,DELITO DE BAJO IMPACTO,19.4213416282431,-99.1499826502644,62,0,43200.0,4,-1
